,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,23.0,0.400349885225296,"[(2, 0.03797229), (6, 0.037972853), (12, 0.08114023), (17, 0.22438194), (23, 0.4003499), (24, 0.0752139), (25, 0.036733054), (30, 0.038266648), (37, 0.039254624)]"
1,1,17.0,0.5688603520393372,"[(6, 0.056252837), (17, 0.56886035), (21, 0.29363057), (24, 0.056253407)]"
2,2,9.0,0.7658149600028992,"[(9, 0.76581496), (16, 0.04900213), (17, 0.059128206), (28, 0.106904484)]"
3,3,9.0,0.7699030041694641,"[(9, 0.769903), (13, 0.03240682), (17, 0.08826771), (25, 0.063861504), (28, 0.03209836)]"
4,4,17.0,0.7463065385818481,"[(0, 0.04798565), (2, 0.06302783), (17, 0.74630654), (30, 0.058957066), (35, 0.044345096), (39, 0.021666473)]"
5,5,39.0,0.4121914207935333,"[(2, 0.1887386), (11, 0.055115987), (21, 0.02770588), (22, 0.2104801), (29, 0.0287183), (30, 0.054745223), (39, 0.41219142)]"
6,6,15.0,0.409387469291687,"[(3, 0.116793156), (12, 0.03016307), (15, 0.40938747), (16, 0.033521075), (19, 0.049366303), (20, 0.105949804), (26, 0.094273984), (27, 0.013105449), (28, 0.11688005), (32, 0.013332987)]"
7,7,31.0,0.5699831247329712,"[(0, 0.0768693), (4, 0.012597344), (9, 0.01700689), (17, 0.2119599), (20, 0.05226631), (24, 0.049374055), (31, 0.5699831)]"
8,8,4.0,0.28229090571403503,"[(1, 0.011132982), (3, 0.21947582), (4, 0.2822909), (11, 0.011310045), (12, 0.19503611), (16, 0.118343346), (26, 0.016458381), (27, 0.08198272), (32, 0.018909885), (35, 0.020330897)]"
9,9,3.0,0.19005069136619568,"[(3, 0.19005069), (4, 0.10552882), (11, 0.12563775), (15, 0.13543256), (17, 0.045557804), (19, 0.05752047), (29, 0.16350727), (38, 0.104745604), (39, 0.041009657)]"
10,10,27.0,0.774287223815918,"[(16, 0.020636287), (27, 0.7742872), (38, 0.19147198)]"
11,11,35.0,0.48973536491394043,"[(5, 0.027683048), (13, 0.030791953), (15, 0.1984361), (16, 0.093652256), (21, 0.060659565), (25, 0.08708348), (35, 0.4897354)]"
12,12,21.0,0.4972522556781769,"[(2, 0.1394894), (10, 0.11357886), (13, 0.035775077), (19, 0.02163701), (21, 0.49725226), (23, 0.030225525), (27, 0.04516109), (37, 0.10493543)]"
13,13,23.0,0.4075435698032379,"[(13, 0.062399507), (19, 0.08057011), (21, 0.018883951), (23, 0.40754357), (31, 0.037114676), (33, 0.12791279), (35, 0.12880506), (38, 0.07735196), (39, 0.045575514)]"
14,14,16.0,0.45322778820991516,"[(6, 0.11794859), (8, 0.1321171), (16, 0.4532278), (22, 0.23898281), (33, 0.0420952)]"
15,15,17.0,0.31608846783638,"[(0, 0.021521818), (2, 0.021619229), (13, 0.16392238), (17, 0.31608847), (19, 0.023066279), (23, 0.1390725), (29, 0.20030658), (35, 0.07514362), (37, 0.02310898)]"
16,16,39.0,0.7614222764968872,"[(23, 0.02066931), (30, 0.02049998), (31, 0.17940591), (39, 0.7614223)]"
